latitude,longitude,zip_code
40.8172,-73.0451,00501
40.8172,-73.0451,00544
41.27000134,-71.98879096,06390
40.6818401,-73.41261925,11701
40.62257779,-73.38406388,11702
40.73283137,-73.32557932,11703
40.71690101,-73.35988975,11704
40.74519644,-73.05437241,11705
40.73797515,-73.2622976,11706
40.7006,-73.3195,11707
40.90687496,-73.55815209,11709
40.77726252,-72.94262116,11713
40.74234171,-73.4858336,11714
40.7499921,-73.03515631,11715
40.77150445,-73.12890534,11716
40.78393282,-73.25218212,11717
40.71043998,-73.2593437,11718
40.77968196,-72.90798724,11719
40.87019147,-73.08209137,11720
40.89739386,-73.37155704,11721
40.78342965,-73.19694818,11722
40.86670254,-73.45772332,11724
40.84065955,-73.28073233,11725
40.6790192,-73.39566034,11726
40.88209729,-73.00385015,11727
40.7623912,-73.32187821,11729
40.72700485,-73.18455657,11730
40.86417833,-73.3167327,11731
40.84555257,-73.53287679,11732
40.94238997,-73.11066737,11733
40.73344359,-73.4297817,11735
40.7158,-73.4186,11737
40.83752627,-73.03868695,11738
40.71062658,-73.16207287,11739
40.86526862,-73.3609736,11740
40.79491339,-73.07041863,11741
40.80997777,-73.04097937,11742
40.88777709,-73.4358569,11743
40.81392708,-73.36012849,11746
40.78440683,-73.40993612,11747
40.80684719,-73.1710213,11749
40.72870001,-73.21541781,11751
40.75661095,-73.17433926,11752
40.78973413,-73.54082699,11753
40.88957181,-73.24703577,11754
40.85815034,-73.11721236,11755
40.68883396,-73.37348523,11757
40.8126,-73.1845,11760
40.82584718,-72.98290099,11763
40.94084677,-72.9794781,11764
40.88114213,-73.55839968,11765
40.93998856,-73.01862522,11766
40.84413759,-73.14453914,11767
40.91999315,-73.34446816,11768
40.73623515,-73.13111388,11769
40.63447728,-73.20541939,11770
40.87309611,-73.5269605,11771
40.77118228,-72.99483731,11772
40.76,-73.4088,11775
40.91360228,-73.04601509,11776
40.95558004,-73.06544476,11777
40.94749355,-72.93118412,11778
40.81276892,-73.11537125,11779
40.89769499,-73.17344969,11780
40.74779849,-73.08190467,11782
40.86839028,-73.0404302,11784
40.95169194,-72.88771081,11786
40.85336053,-73.21023679,11787
40.81815916,-73.21298855,11788
40.96231721,-72.97112843,11789
40.90830283,-73.12900722,11790
40.95331688,-72.82788214,11792
40.9137,-73.1226,11794
40.70719474,-73.29699484,11795
40.73109824,-73.10000803,11796
40.81726435,-73.47002557,11797
40.75160779,-73.37138758,11798
40.76239588,-73.52374097,11801
40.7675,-73.5339,11802
40.78194387,-73.47394086,11803
40.75948552,-73.45663207,11804
40.7661,-73.5129,11815
40.93173796,-72.64124598,11901
40.99167072,-72.09205331,11930
40.9369,-72.6351,11931
40.94303774,-72.30383438,11932
40.92772906,-72.74962158,11933
40.80198274,-72.79523888,11934
41.01847701,-72.4906002,11935
40.99477113,-72.19511162,11937
41.12835997,-72.33008615,11939
40.80952432,-72.75748773,11940
40.83294293,-72.72068638,11941
40.85209533,-72.58747354,11942
41.10653805,-72.37238146,11944
40.8826751,-72.52989712,11946
40.9497,-72.581,11947
40.96644396,-72.5577033,11948
40.8642593,-72.79298537,11949
40.8077587,-72.8477292,11950
40.76682149,-72.83664273,11951
41.001965,-72.54767867,11952
40.88681136,-72.95071052,11953
41.04509681,-71.95211473,11954
40.80683772,-72.82355272,11955
40.99160104,-72.47269474,11956
41.16174688,-72.22932279,11957
41.03932056,-72.46660035,11958
40.82123778,-72.6077381,11959
40.80876202,-72.70599665,11960
40.90122858,-72.88487147,11961
40.93090064,-72.27479669,11962
40.98987257,-72.32071478,11963
41.06146608,-72.3130519,11964
41.08180895,-72.34666744,11965
40.79953064,-72.87517325,11967
40.90708054,-72.41236337,11968
40.887,-72.3899,11969
40.93648864,-72.5736137,11970
41.06460055,-72.42994718,11971
40.81731413,-72.70750348,11972
40.86944534,-72.87694674,11973
40.93802162,-72.24463764,11975
40.92800139,-72.34232111,11976
40.82885075,-72.67998999,11977
40.82896917,-72.63604831,11978
40.83275596,-72.92020923,11980
40.72540304,-73.51652945,11756
40.72187062,-73.70718348,11001
40.7264,-73.7084,11002
40.69947082,-73.70657722,11003
40.74633447,-73.71152684,11004
40.75694069,-73.71300558,11005
40.70056945,-73.67510475,11010
40.77058273,-73.71237179,11020
40.78655814,-73.72847703,11021
40.7875,-73.7246,11022
40.79936874,-73.73392902,11023
40.81732281,-73.74144091,11024
40.79264032,-73.68868713,11030
40.74513372,-73.67956225,11040
40.75817463,-73.69527213,11042
40.84035866,-73.69262932,11050
40.62184042,-73.75343781,11096
40.7914263,-73.77678514,11359
40.78037445,-73.78154122,11360
40.76376932,-73.77239314,11361
40.75919822,-73.73529571,11362
40.773051,-73.74651311,11363
40.7460059,-73.7568167,11364
40.7285696,-73.78641374,11366
40.7047,-73.7943,11405
40.69395982,-73.73617083,11411
40.69818157,-73.75936649,11412
40.67035355,-73.7510707,11413
40.65929502,-73.7371817,11422
40.71478743,-73.76760102,11423
40.6922,-73.7682,11425
40.73647842,-73.72317935,11426
40.73015582,-73.74928403,11427
40.72116071,-73.74190763,11428
40.70967383,-73.73876354,11429
40.64683802,-73.78775097,11430
40.7081,-73.7976,11431
40.71526633,-73.79304839,11432
40.69801625,-73.78745759,11433
40.67409011,-73.77589304,11434
40.67486896,-73.79609725,11436
40.7223,-73.7904,11439
40.6584,-73.775,11499
40.74651433,-73.63917936,11501
40.77118589,-73.65280392,11507
40.58637334,-73.73540044,11509
40.65010192,-73.60805055,11510
40.75003044,-73.61275511,11514
40.62756681,-73.72828319,11516
40.63783461,-73.66677815,11518
40.65015503,-73.58345758,11520
40.72702222,-73.63458211,11530
40.7284,-73.6268,11531
40.87083426,-73.62842409,11542
40.82437758,-73.58802895,11545
40.81288013,-73.62447075,11548
40.71808012,-73.60323369,11549
40.70152973,-73.61969577,11550
40.7065,-73.632,11551
40.69182032,-73.65124054,11552
40.70372901,-73.59042237,11553
40.71960696,-73.56040239,11554
40.6965,-73.5783,11555
40.6966,-73.5777,11556
40.63756586,-73.69222773,11557
40.60480722,-73.64922673,11558
40.60758129,-73.71468814,11559
40.88054104,-73.58993973,11560
40.58926386,-73.64829304,11561
40.65725109,-73.67374458,11563
40.67500407,-73.67200733,11565
40.6597373,-73.555012,11566
40.78488259,-73.59797398,11568
40.58794764,-73.5505166,11569
40.66569257,-73.63855132,11570
40.6562,-73.6465,11571
40.63222366,-73.6367051,11572
40.68024387,-73.58516231,11575
40.80532087,-73.64177641,11576
40.78323271,-73.63878551,11577
40.84412235,-73.64416549,11579
40.67482287,-73.70366994,11580
40.65261732,-73.71492765,11581
40.662,-73.7027,11582
40.75532631,-73.57442805,11590
40.75979396,-73.64225806,11596
40.63082469,-73.71126431,11598
40.7333,-73.6042,11599
40.6032,-73.7509,11690
40.60048869,-73.76017758,11691
40.59610416,-73.79193375,11692
40.61751015,-73.82501221,11693
40.57521839,-73.85151486,11694
40.5976,-73.821,11695
40.55742149,-73.91350864,11697
40.67007719,-73.53211746,11710
40.68301537,-73.46896406,11758
40.68278,-73.44685841,11762
40.8092,-73.5154,11773
40.67285118,-73.49156845,11783
40.8263773,-73.50600416,11791
40.67825665,-73.5101943,11793
40.7773,-73.5655,11853
40.81055544,-73.88456952,10474
40.74586741,-73.93855977,11101
40.77232712,-73.92594538,11102
40.76279232,-73.91330821,11103
40.74486604,-73.92072161,11104
40.77903642,-73.90595795,11105
40.76171328,-73.93191572,11106
40.746,-73.9426,11120
40.70219001,-73.9423236,11206
40.67625105,-73.87317291,11208
40.71426281,-73.94567949,11211
40.7285693,-73.94805828,11222
40.70397335,-73.9208097,11237
40.71278237,-73.96301766,11249
40.6624,-73.8601,11256
40.7816,-73.8267,11351
40.7562,-73.8286,11352
40.7685683,-73.82758119,11354
40.75108642,-73.82195698,11355
40.78478416,-73.84154826,11356
40.78630469,-73.81091389,11357
40.76056038,-73.79649368,11358
40.73977107,-73.79416297,11365
40.73046681,-73.82631521,11367
40.74974822,-73.85360615,11368
40.76356263,-73.8726068,11369
40.76970946,-73.88123107,11370
40.7686,-73.8875,11371
40.75164087,-73.88363118,11372
40.73895764,-73.87866804,11373
40.72658154,-73.86178469,11374
40.71923534,-73.84599295,11375
40.74492722,-73.90502732,11377
40.72377276,-73.90749338,11378
40.71758797,-73.87909718,11379
40.7432,-73.8841,11380
40.65771082,-73.84478535,11414
40.70767076,-73.82806013,11415
40.68463445,-73.84939587,11416
40.67606536,-73.84451882,11417
40.69873637,-73.83339678,11418
40.68862479,-73.82303884,11419
40.67337626,-73.81770985,11420
40.69259335,-73.85724455,11421
40.7145691,-73.82770776,11424
40.7011857,-73.80985365,11435
40.701695,-73.795529,11451
40.74622149,-73.95702457,11109
40.69631132,-73.98955578,11201
40.6979,-73.9913,11202
40.6495332,-73.93422774,11203
40.61876021,-73.98485351,11204
40.69480393,-73.96506367,11205
